"Title"	"Channel"	"Views"	"Comments"
"3-Hour Study With Me | Lofi + Rain 🌧 Pomodoro 50/10"	"Jay Studies"	"5652"	"7"
"8 HOUR STUDY WITH ME   Background noise, 10 min Break, No music, Study with Merve"	"Merve"	"33778"	"55"
"3 HOUR STUDY WITH ME | Background noise, Rain Sounds, 10-min break, No Music"	"Merve"	"12438277"	"5274"
"4-HOUR STUDY WITH ME 🎆 / Evening Calm Lofi/ Pomodoro 45"	"StudyMD"	"209929"	"71"
"2.5-HOUR STUDY WITH ME /  calm piano / 🚢 Yokohama Harbor at SUNSET🌃 / with countdown+alarm"	"Abao in Tokyo"	"8451286"	"2375"
"3-HOUR STUDY WITH ME🏡 / calm lofi / A Rainy Evening in Tokyo / with countdown+alarm"	"Abao in Tokyo"	"10659401"	"5935"
"2-HOUR STUDY WITH ME🌅 / relaxing jazz🎷 + fireplace / Tokyo-Skytree at SUNRISE / with countdown+alarm"	"Abao in Tokyo"	"7387967"	"3807"
"(23.04.01.토) Study with me/🔥모닥불 ASMR/실시간 공부 방송/ 스터디 윗미/ 교시제/ 수능/ 공시생/ 고시생/ 스윗미/ 라이브/ LIVE"	"공부하는지호 Ziho"	"968"	"0"
"4 HOUR STUDY WITH ME on A RAINY DAY ⎢  Background noise, 10 min Break, No music, Study with Merve"	"Merve"	"78351"	"101"
"Calm Sunset LoFi & Nature Sounds | 3 HOUR STUDY WITH ME | Pomodoro 45-15"	"StudyMD"	"723816"	"224"
"3-HOUR STUDY PLAYLIST 🏔️ Relaxing Lofi Music / Stay Motivated/ STUDY WITH ME POMODORO TIMER"	"The Sherry Formula"	"53610"	"58"
"STUDY PLAYLIST 🍁 3-HOUR STUDY WITH ME POMODOROS/Relaxing Lofi/ Cozy Autumn Afternoon/Timer and Alarm"	"The Sherry Formula"	"3092593"	"677"
"4-HOUR STUDY WITH ME🌦️ / calm piano / A Rainy Day in Shinjuku, Tokyo / with countdown+alarm"	"Abao in Tokyo"	"3712696"	"1704"
"🌿 3-HOUR STUDY MUSIC PLAYLIST/ relaxing Lofi / Cozy Evening DEEP FOCUS POMODORO TIMER/ Study With Me"	"The Sherry Formula"	"2578728"	"743"
"4-HOUR STUDY WITH ME 🌇 / Sunset Meditation Calm Piano /  Pomodoro 50-10"	"StudyMD"	"1792193"	"381"
"4 HOUR STUDY WITH ME on A RAINY DAY ⎢  Background noise, 10 min Break, No music, Study with Merve⎢4K"	"Merve"	"46150"	"59"
"4 HOUR STUDY WITH ME on A RAINY DAY| Background noise, 10-min Break, No music, Study with Merve"	"Merve"	"138577"	"115"
"CHILL LOFI 🖍️ [2-hour Study With Me] 📕 HyperFocus"	"StudyMD"	"300895"	"95"
"2-Hour Study With Me [Ambient LOFI 🌿 + Thunderstorm] Pomodoro 45/15"	"StudyMD"	"491912"	"152"
